AICTE-Recognized BE/B.Tech Branches ,Important Technical Domains
,
Aerospace Engineering,"Aerodynamics, Propulsion, Aircraft Structures, Avionics, Flight Mechanics, CFD"
Aeronautical Engineering,"Core Engineering Fundamentals, Domain-Specific Software Tools, Industry Applications"
Agricultural Engineering,"Core Engineering Fundamentals, Domain-Specific Software Tools, Industry Applications"
Artificial Intelligence,"Core Engineering Fundamentals, Domain-Specific Software Tools, Industry Applications"
Artificial Intelligence and Data Science,"Machine Learning, Deep Learning, Big Data, Data Analytics, Visualization"
Artificial Intelligence and Machine Learning,"Core Engineering Fundamentals, Domain-Specific Software Tools, Industry Applications"
Automobile Engineering,"IC Engines, Electric Vehicles, Vehicle Dynamics, Automotive Design, Hybrid Systems"
Automation and Robotics,"Mechatronics, Industrial Robotics, PLC, Automation Systems, AI in Robotics"
Automation Engineering,"Core Engineering Fundamentals, Domain-Specific Software Tools, Industry Applications"
Aviation Engineering,"Core Engineering Fundamentals, Domain-Specific Software Tools, Industry Applications"
,
Biomedical Engineering,"Medical Devices, Biomedical Signal Processing, Imaging Systems"
Biotechnology Engineering,"Genetic Engineering, Bioinformatics, Bioprocess Engineering, Molecular Biology"
Biosciences & Bioengineering,"Core Engineering Fundamentals, Domain-Specific Software Tools, Industry Applications"
,
Ceramic Engineering,"Core Engineering Fundamentals, Domain-Specific Software Tools, Industry Applications"
Chemical Engineering,"Process Engineering, Thermodynamics, Reaction Engineering, Mass Transfer, Process Control"
Civil Engineering,"Structural Engineering, Geotechnical, Environmental Engineering, Construction Management, Water Resources"
Computer Engineering,"Programming, Algorithms, Software Engineering, AI/ML, Cloud Computing"
Computer Science and Business Systems,"Programming, Data Structures, AI/ML, Data Science, Cloud Computing, Cyber Security, Web Development"
Computer Science and Design,"Programming, Data Structures, AI/ML, Data Science, Cloud Computing, Cyber Security, Web Development"
Computer Science and Engineering,"Programming, Data Structures, AI/ML, Data Science, Cloud Computing, Cyber Security, Web Development"
Computer Science and Engineering (Artificial Intelligence),"Programming, Data Structures, AI/ML, Data Science, Cloud Computing, Cyber Security, Web Development"
Computer Science and Engineering (Artificial Intelligence and Machine Learning),"Programming, Data Structures, AI/ML, Data Science, Cloud Computing, Cyber Security, Web Development"
Computer Science and Engineering (Data Science),"Programming, Data Structures, AI/ML, Data Science, Cloud Computing, Cyber Security, Web Development"
Computer Science and Engineering (Cyber Security),"Programming, Data Structures, AI/ML, Data Science, Cloud Computing, Cyber Security, Web Development"
Computer Science and Engineering (Internet of Things),"Programming, Data Structures, AI/ML, Data Science, Cloud Computing, Cyber Security, Web Development"
Computer Science and Engineering (IoT and Cyber Security including Blockchain),"Programming, Data Structures, AI/ML, Data Science, Cloud Computing, Cyber Security, Web Development"
Construction Engineering,"Project Management, Structural Design, Quantity Surveying"
,
Data Science,"Machine Learning, Deep Learning, Big Data, Data Analytics, Visualization"
,
Electrical and Computer Engineering,"Power Systems, Power Electronics, Electrical Machines, Renewable Energy, Smart Grid"
Electrical and Electronics Engineering,"Embedded Systems, VLSI, Communication Systems, Signal Processing, IoT, PCB Design"
Electrical Engineering,"Power Systems, Power Electronics, Electrical Machines, Renewable Energy, Smart Grid"
Electronics and Communication Engineering,"Embedded Systems, VLSI, Communication Systems, Signal Processing, IoT, PCB Design"
Electronics and Computer Engineering,"Embedded Systems, VLSI, Communication Systems, Signal Processing, IoT, PCB Design"
Electronics and Instrumentation Engineering,"Embedded Systems, VLSI, Communication Systems, Signal Processing, IoT, PCB Design"
Electronics and Telecommunication Engineering,"Embedded Systems, VLSI, Communication Systems, Signal Processing, IoT, PCB Design"
Electronics Engineering,"Embedded Systems, VLSI, Communication Systems, Signal Processing, IoT, PCB Design"
Embedded Systems,"Core Engineering Fundamentals, Domain-Specific Software Tools, Industry Applications"
Energy Engineering,"Core Engineering Fundamentals, Domain-Specific Software Tools, Industry Applications"
Engineering Physics,"Core Engineering Fundamentals, Domain-Specific Software Tools, Industry Applications"
Environmental Engineering,"Waste Management, Water Treatment, Environmental Impact Assessment"
,
Fire and Safety Engineering,"Core Engineering Fundamentals, Domain-Specific Software Tools, Industry Applications"
Food Engineering,"Core Engineering Fundamentals, Domain-Specific Software Tools, Industry Applications"
Food Technology,"Core Engineering Fundamentals, Domain-Specific Software Tools, Industry Applications"
,
Geological Technology,"Core Engineering Fundamentals, Domain-Specific Software Tools, Industry Applications"
,
Industrial Engineering,"Operations Research, Supply Chain, Industrial Automation"
Industrial and Production Engineering,"Manufacturing Systems, Industrial Engineering, Quality Control"
Information Technology,"Core Engineering Fundamentals, Domain-Specific Software Tools, Industry Applications"
Instrumentation and Control Engineering,"Core Engineering Fundamentals, Domain-Specific Software Tools, Industry Applications"
,
Marine Engineering,"Naval Architecture, Marine Engineering Systems, Offshore Structures"
Mathematics & Computing,"Core Engineering Fundamentals, Domain-Specific Software Tools, Industry Applications"
Material Science and Engineering,"Core Engineering Fundamentals, Domain-Specific Software Tools, Industry Applications"
Mechanical Engineering,"Thermodynamics, Manufacturing, CAD/CAM, Robotics, Automobile Systems, Mechatronics"
Mechanical and Automation Engineering,"Thermodynamics, Manufacturing, CAD/CAM, Robotics, Automobile Systems, Mechatronics"
Mechatronics Engineering,"Embedded Systems, Robotics, Control Systems, Automation"
Medical Electronics,"Embedded Systems, VLSI, Communication Systems, Signal Processing, IoT, PCB Design"
Metallurgical Engineering,"Core Engineering Fundamentals, Domain-Specific Software Tools, Industry Applications"
Mining Engineering,"Mine Planning, Rock Mechanics, Mineral Processing"
,
Naval Architecture and Ocean Engineering,"Networking, Database Management, Cloud Computing, Cyber Security, Software Engineering"
,
Ocean Engineering,"Core Engineering Fundamentals, Domain-Specific Software Tools, Industry Applications"
,
Petrochemical Engineering,"Process Engineering, Thermodynamics, Reaction Engineering, Mass Transfer, Process Control"
Petroleum Engineering,"Drilling Engineering, Reservoir Engineering, Production Technology"
Pharmaceutical Engineering,"Core Engineering Fundamentals, Domain-Specific Software Tools, Industry Applications"
Plastic Engineering,"Core Engineering Fundamentals, Domain-Specific Software Tools, Industry Applications"
Polymer Engineering,"Core Engineering Fundamentals, Domain-Specific Software Tools, Industry Applications"
Power Engineering,"Core Engineering Fundamentals, Domain-Specific Software Tools, Industry Applications"
Production Engineering,"Manufacturing Systems, Industrial Engineering, Quality Control"
,
Robotics and Automation,"Mechatronics, Industrial Robotics, PLC, Automation Systems, AI in Robotics"
,
Safety Engineering,"Core Engineering Fundamentals, Domain-Specific Software Tools, Industry Applications"
,
Textile Engineering,"Fiber Technology, Textile Manufacturing, Fabric Testing"
,
VLSI Design and Technology,"Core Engineering Fundamentals, Domain-Specific Software Tools, Industry Applications"
